Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M12;6,5
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M11;5,5
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M10;5,4
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M09;4,0
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M08;3,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M07;2,9
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M06;2,7
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M05;2,7
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M04;2,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M03;1,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M02;0,0
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M01;0,5
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M12;-0,5
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M11;-0,8
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M10;-0,8
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M09;-0,4
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M08;-0,5
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M07;-0,6
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M06;-0,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M05;-0,9
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M04;-0,7
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M03;0,0
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M02;0,7
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M01;1,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M12;0,8
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M11;0,4
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M10;0,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M09;0,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M08;0,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M07;0,5
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M06;0,4
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M05;0,8
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M04;1,5
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M03;1,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M02;1,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M01;1,0
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M12;1,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M11;1,7
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M10;2,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M09;2,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M08;2,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M07;2,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M06;2,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M05;2,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M04;1,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M03;1,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M02;1,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M01;0,6
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M12;1,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M11;1,7
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M10;1,6
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M09;1,8
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M08;1,6
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M07;1,5
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M06;1,5
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M05;1,9
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M04;2,6
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M03;2,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M02;3,0
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M01;3,0
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M12;1,6
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M11;0,7
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M10;0,7
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M09;0,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M08;-0,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M07;-0,6
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M06;-0,8
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M05;-1,0
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M04;-1,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M03;-0,8
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M02;-0,8
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M01;-0,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M12;0,0
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M11;-0,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M10;-0,7
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M09;-0,9
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M08;-0,4
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M07;0,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M06;0,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M05;-0,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M04;-0,6
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M03;-0,7
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M02;-1,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M01;-1,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M12;-1,0
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M11;-0,4
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M10;-0,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M09;-0,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M08;-0,5
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M07;-0,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M06;0,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M05;0,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M04;0,4
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M03;-0,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M02;0,0
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M01;0,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M12;0,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M11;0,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M10;-0,1
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M09;0,3
